Transaction_ID,Date,Drug_Name,Batch_Number,Qty_Sold,MRP_Unit_Price,Total_Amount
TXN-10065,2023-01-12,Pan 40,PAN-2301-58,5,155,775
TXN-10066,2023-01-12,Azithral 500,AZI-2301-67,7,118.5,829.5
TXN-10067,2023-01-13,Pan 40,PAN-2301-58,2,155,310
TXN-10068,2023-01-13,Dolo 650,DOL-2301-95,6,30,180
TXN-10069,2023-01-13,Dolo 650,DOL-2301-95,7,30,210
TXN-10070,2023-01-13,Glycomet 500,,2,22.5,45
TXN-10071,2023-01-13,Glycomet 500,GLY-2301-13,3,22.5,67.5
TXN-10072,2023-01-13,Allegra 120,ALL-2301-79,5,198,990
TXN-10073,2023-01-13,Pan 40,PAN-2301-29,3,155,465
TXN-10074,2023-01-13,Dolo 650,DOL-2301-95,9,30,270
TXN-10075,2023-01-13,Allegra 120,ALL-2301-89,4,198,792
TXN-10076,2023-01-13,Allegra 120,ALL-2301-79,5,198,990
TXN-10077,2023-01-13,Azithral 500,AZI-2301-61,6,118.5,711
TXN-10078,2023-01-13,Dolo 650,DOL-2301-50,8,30,240
TXN-10079,2023-01-13,Azithral 500,AZI-2301-67,4,118.5,474
TXN-10080,2023-01-14,Dolo 650,,8,30,240
TXN-10081,2023-01-14,Pan 40,PAN-2301-29,4,155,620
TXN-10082,2023-01-14,Telma 40,TEL-2301-80,5,220,1100
TXN-10083,2023-01-14,Telma 40,TEL-2301-80,1,220,220
TXN-10084,2023-01-14,Allegra 120,ALL-2301-79,5,198,990
TXN-10085,2023-01-14,Pan 40,PAN-2301-58,3,155,465
TXN-10086,2023-01-14,Pan 40,PAN-2301-58,4,155,620
TXN-10087,2023-01-14,Azithral 500,AZI-2301-67,7,118.5,829.5
TXN-10088,2023-01-14,Glycomet 500,GLY-2301-55,1,22.5,22.5
TXN-10089,2023-01-14,Telma 40,TEL-2301-80,5,,1100
TXN-10090,2023-01-14,Allegra 120,ALL-2301-89,1,198,198
TXN-10091,2023-01-14,Allegra 120,ALL-2301-79,3,198,594
TXN-10092,2023-01-14,Telma 40,TEL-2301-73,2,220,440
TXN-10093,2023-01-14,Glycomet 500,GLY-2301-55,3,22.5,67.5
TXN-10094,2023-01-14,Glycomet 500,GLY-2301-13,4,22.5,90
TXN-10095,2023-01-15,Telma 40,TEL-2301-73,3,220,660
TXN-10096,2023-01-15,Allegra 120,ALL-2301-89,1,198,198
TXN-10097,2023-01-15,Pan 40,,3,155,465
TXN-10098,2023-01-15,Glycomet 500,GLY-2301-13,1,22.5,22.5
TXN-10099,2023-01-15,Azithral 500,AZI-2301-61,9,118.5,1066.5
TXN-10100,2023-01-15,Dolo 650,DOL-2301-95,8,30,240
TXN-10101,2023-01-15,Allegra 120,ALL-2301-89,5,198,990
TXN-10102,2023-01-15,Allegra 120,ALL-2301-89,2,198,396
TXN-10103,2023-01-15,Allegra 120,ALL-2301-79,3,198,594
TXN-10104,2023-01-15,Dolo 650,DOL-2301-50,7,30,210
TXN-10105,2023-01-15,Azithral 500,AZI-2301-61,7,118.5,829.5
TXN-10106,2023-01-16,Telma 40,TEL-2301-73,4,220,880
TXN-10107,2023-01-16,Pan 40,PAN-2301-29,4,155,620
TXN-10108,2023-01-16,Pan 40,PAN-2301-29,3,155,465
TXN-10109,2023-01-16,Dolo 650,DOL-2301-50,7,30,210
TXN-10110,2023-01-16,Glycomet 500,GLY-2301-55,4,225,90
TXN-10111,2023-01-16,Allegra 120,,5,198,990
TXN-10112,2023-01-16,Telma 40,TEL-2301-73,2,220,440
TXN-10113,2023-01-01,Glycomet 500,GLY-2301-55,1,22.5,22.5
TXN-10114,2023-01-16,Telma 40,TEL-2301-80,4,220,880
TXN-10115,2023-01-16,Azithral 500,AZI-2301-67,7,118.5,829.5
TXN-10116,2023-01-16,Dolo 650,DOL-2301-95,7,30,210
TXN-10117,2023-01-16,Allegra 120,ALL-2301-79,3,198,594
TXN-10118,2023-01-16,Glycomet 500,GLY-2301-13,1,22.5,22.5
TXN-10119,2023-01-17,Pan 40,PAN-2301-29,4,155,620
TXN-10120,2023-01-17,Telma 40,TEL-2301-73,1,220,220
TXN-10121,2023-01-17,Telma 40,TEL-2301-73,1,220,220
TXN-10122,2023-01-17,Glycomet 500,GLY-2301-55,4,22.5,90
TXN-10123,2023-01-17,Telma 40,TEL-2301-73,5,220,1100
TXN-10124,2023-01-17,Glycomet 500,GLY-2301-13,4,22.5,90
TXN-10125,2023-01-17,Azithral 500,AZI-2301-67,7,118.5,829.5
TXN-10126,2023-01-17,Dolo 650,DOL-2301-95,7,30,210
TXN-10127,2023-01-17,Dolo 650,DOL-2301-50,6,30,180
TXN-10128,2023-01-17,Pan 40,PAN-2301-29,2,155,310
TXN-10129,2023-01-18,Azithral 500,AZI-2301-67,4,118.5,474
TXN-10130,2023-01-18,Telma 40,TEL-2301-80,5,220,1100
TXN-10131,2023-01-18,Azithral 500,,8,118.5,948
TXN-10132,2023-01-18,Dolo 650,DOL-2301-95,5,30,150
TXN-10133,2023-01-01,Glycomet 500,GLY-2301-13,1,22.5,22.5
TXN-10134,2023-01-18,Allegra 120,ALL-2301-79,2,198,396
TXN-10135,2023-01-18,Glycomet 500,GLY-2301-55,4,22.5,90
TXN-10136,2023-01-18,Telma 40,TEL-2301-80,2,220,440
TXN-10137,2023-01-18,Pan 40,PAN-2301-29,3,155,465
TXN-10138,2023-01-18,Allegra 120,ALL-2301-89,5,198,990
TXN-10139,2023-01-18,Allegra 120,ALL-2301-89,4,198,792
TXN-10140,2023-01-18,Allegra 120,ALL-2301-79,4,198,792
TXN-10141,2023-01-19,Dolo 650,DOL-2301-95,4,30,120
TXN-10142,2023-01-19,Glycomet 500,GLY-2301-55,3,22.5,67.5
TXN-10143,2023-01-19,Telma 40,,4,220,880
TXN-10144,2023-01-19,Azithral 500,AZI-2301-61,6,118.5,711
TXN-10145,2023-01-19,Dolo 650,DOL-2301-95,4,30,120
TXN-10146,2023-01-19,Telma 40,TEL-2301-80,1,220,220
TXN-10147,2023-01-19,Glycomet 500,GLY-2301-55,1,22.5,22.5
TXN-10148,2023-01-19,Glycomet 500,GLY-2301-55,2,22.5,45
TXN-10149,2023-01-19,Allegra 120,ALL-2301-89,5,198,990
TXN-10150,2023-01-19,Glycomet 500,GLY-2301-13,4,22.5,90
TXN-10151,2023-01-19,Glycomet 500,GLY-2301-13,3,22.5,67.5
TXN-10152,2023-01-19,Dolo 650,DOL-2301-95,10,30,300
TXN-10153,2023-01-19,Pan 40,PAN-2301-29,3,155,465
TXN-10154,2023-01-19,Dolo 650,DOL-2301-95,6,30,180
TXN-10155,2023-01-20,Dolo 650,DOL-2301-50,8,30,240
TXN-10156,2023-01-20,Pan 40,PAN-2301-29,1,155,155
TXN-10157,2023-01-20,Telma 40,TEL-2301-80,2,220,440
TXN-10158,2023-01-20,Pan 40,PAN-2301-58,1,155,155
TXN-10159,2023-01-20,Telma 40,TEL-2301-80,3,220,660
TXN-10160,2023-01-20,Allegra 120,ALL-2301-89,5,198,990
TXN-10161,2023-01-20,Pan 40,PAN-2301-58,1,155,155
TXN-10162,2023-01-20,Dolo 650,DOL-2301-95,7,30,210
TXN-10163,2023-01-20,Telma 40,TEL-2301-73,5,220,1100
TXN-10164,2023-01-20,Telma 40,TEL-2301-73,2,220,440
TXN-10165,2023-01-21,Glycomet 500,GLY-2301-55,5,22.5,112.5
TXN-10166,2023-01-21,Glycomet 500,GLY-2301-55,1,22.5,22.5
TXN-10167,2023-01-01,Azithral 500,AZI-2301-61,7,118.5,829.5
TXN-10168,2023-01-21,Azithral 500,,8,118.5,948
TXN-10169,2023-01-21,Allegra 120,ALL-2301-79,1,198,198
TXN-10170,2023-01-22,Telma 40,TEL-2301-73,3,220,660
TXN-10171,2023-01-22,Glycomet 500,GLY-2301-55,5,22.5,112.5
TXN-10172,2023-01-22,Dolo 650,DOL-2301-95,5,30,150
TXN-10173,2023-01-22,Pan 40,PAN-2301-29,5,155,775
TXN-10174,2023-01-22,Glycomet 500,GLY-2301-55,5,22.5,112.5
TXN-10175,2023-01-22,Glycomet 500,GLY-2301-55,3,22.5,67.5
TXN-10176,2023-01-22,Glycomet 500,GLY-2301-55,1,22.5,22.5
TXN-10177,2023-01-22,Azithral 500,AZI-2301-61,6,118.5,711
TXN-10178,2023-01-22,Telma 40,TEL-2301-73,2,220,440
TXN-10179,2023-01-22,Telma 40,TEL-2301-73,2,220,440
TXN-10180,2023-01-22,Allegra 120,ALL-2301-79,1,198,198
TXN-10181,2023-01-22,Glycomet 500,GLY-2301-13,4,22.5,90
TXN-10182,2023-01-22,Allegra 120,ALL-2301-79,5,198,990
TXN-10183,2023-01-22,Azithral 500,AZI-2301-67,7,118.5,829.5
TXN-10184,2023-01-22,Dolo 650,,3,30,90
TXN-10185,2023-01-23,Glycomet 500,GLY-2301-55,3,22.5,67.5
TXN-10186,2023-01-23,Dolo 650,DOL-2301-50,8,30,240
TXN-10187,2023-01-23,Azithral 500,AZI-2301-67,6,118.5,711
TXN-10188,2023-01-23,Azithral 500,AZI-2301-67,5,118.5,592.5
TXN-10189,2023-01-23,Pan 40,PAN-2301-58,2,155,310
TXN-10190,2023-01-23,Dolo 650,DOL-2301-95,7,30,210
TXN-10191,2023-01-23,Azithral 500,AZI-2301-67,7,118.5,829.5
TXN-10192,2023-01-24,Telma 40,TEL-2301-80,5,220,1100
TXN-10193,2023-01-24,Glycomet 500,GLY-2301-55,2,22.5,45
TXN-10194,2023-01-24,Pan 40,PAN-2301-58,4,155,620
TXN-10195,2023-01-24,Pan 40,PAN-2301-29,3,155,465
TXN-10196,2023-01-24,Azithral 500,AZI-2301-61,8,118.5,948
TXN-10197,2023-01-24,Azithral 500,AZI-2301-67,4,118.5,474
TXN-10198,2023-01-24,Azithral 500,AZI-2301-67,5,118.5,592.5
TXN-10199,2023-01-24,Allegra 120,ALL-2301-89,3,198,594
TXN-10200,2023-01-24,Azithral 500,AZI-2301-61,6,118.5,711
TXN-10201,2023-01-24,Dolo 650,DOL-2301-50,9,30,270
TXN-10202,2023-01-24,Glycomet 500,GLY-2301-55,1,22.5,22.5
TXN-10203,2023-01-24,Dolo 650,DOL-2301-50,7,30,210
TXN-10204,2023-01-25,Pan 40,PAN-2301-58,3,155,465
TXN-10205,2023-01-25,Pan 40,PAN-2301-29,1,155,155
TXN-10206,2023-01-25,Azithral 500,AZI-2301-61,5,118.5,592.5
TXN-10207,2023-01-25,Telma 40,TEL-2301-73,1,220,220
TXN-10208,2023-01-25,Pan 40,PAN-2301-29,1,155,155
TXN-10209,2023-01-26,Azithral 500,AZI-2301-67,6,118.5,711
TXN-10210,2023-01-26,Pan 40,PAN-2301-58,3,155,465
TXN-10211,2023-01-26,Dolo 650,,7,30,210
TXN-10212,2023-01-26,Glycomet 500,GLY-2301-13,5,22.5,112.5
TXN-10213,2023-01-26,Allegra 120,ALL-2301-89,3,198,594
TXN-10214,2023-01-26,Allegra 120,ALL-2301-89,1,198,198
TXN-10215,2023-01-26,Allegra 120,ALL-2301-89,1,198,198
TXN-10216,2023-01-26,Azithral 500,AZI-2301-67,6,118.5,711
TXN-10217,2023-01-26,Allegra 120,ALL-2301-89,3,198,594
TXN-10218,2023-01-26,Pan 40,PAN-2301-29,4,155,620
TXN-10219,2023-01-26,Allegra 120,ALL-2301-89,4,198,792
TXN-10220,2023-01-26,Telma 40,TEL-2301-80,5,220,1100
TXN-10221,2023-01-26,Allegra 120,ALL-2301-79,2,198,396
TXN-10222,2023-01-26,Glycomet 500,GLY-2301-55,2,22.5,45
TXN-10223,2023-01-26,Azithral 500,AZI-2301-67,5,118.5,592.5
TXN-10224,2023-01-27,Allegra 120,ALL-2301-79,4,198,792
TXN-10225,2023-01-27,Pan 40,PAN-2301-29,2,155,310
TXN-10226,2023-01-27,Glycomet 500,,5,,112.5
TXN-10227,2023-01-27,Telma 40,TEL-2301-80,2,220,440
TXN-10228,2023-01-27,Telma 40,TEL-2301-73,1,220,220
TXN-10229,2023-01-27,Pan 40,PAN-2301-29,5,155,775
TXN-10230,2023-01-27,Dolo 650,DOL-2301-50,7,30,210
TXN-10231,2023-01-27,Azithral 500,AZI-2301-67,7,118.5,829.5
TXN-10232,2023-01-28,Azithral 500,AZI-2301-61,5,118.5,592.5
TXN-10233,2023-01-28,Dolo 650,DOL-2301-95,7,30,210
TXN-10234,2023-01-28,Glycomet 500,GLY-2301-13,2,22.5,45
TXN-10235,2023-01-28,Dolo 650,DOL-2301-50,8,30,240
TXN-10236,2023-01-28,Glycomet 500,GLY-2301-13,1,22.5,22.5
TXN-10237,2023-01-28,Pan 40,PAN-2301-58,2,155,310
TXN-10238,2023-01-28,Dolo 650,DOL-2301-50,9,30,270
TXN-10239,2023-01-28,Glycomet 500,GLY-2301-13,1,22.5,22.5
TXN-10240,2023-01-28,Pan 40,PAN-2301-29,3,155,465
TXN-10241,2023-01-28,Allegra 120,ALL-2301-79,2,1980,396
TXN-10242,2023-01-28,Allegra 120,ALL-2301-89,2,198,396
TXN-10243,2023-01-28,Azithral 500,,6,118.5,711
TXN-10244,2023-01-28,Glycomet 500,GLY-2301-55,3,22.5,67.5
TXN-10245,2023-01-28,Glycomet 500,GLY-2301-55,3,22.5,67.5
TXN-10246,2023-01-29,Dolo 650,,3,30,90
TXN-10247,2023-01-29,Glycomet 500,GLY-2301-55,5,22.5,112.5
TXN-10248,2023-01-29,Telma 40,TEL-2301-51,2,220,440
TXN-10249,2023-01-29,Dolo 650,DOL-2301-50,4,30,120
TXN-10250,2023-01-29,Azithral 500,AZI-2301-61,6,118.5,711
TXN-10251,2023-01-29,Dolo 650,DOL-2301-86,7,30,210
TXN-10252,2023-01-29,Azithral 500,AZI-2301-61,9,118.5,1066.5
TXN-10253,2023-01-29,Glycomet 500,GLY-2301-17,3,22.5,67.5
TXN-10254,2023-01-30,Glycomet 500,GLY-2301-13,2,22.5,45
TXN-10255,2023-01-30,Glycomet 500,GLY-2301-17,1,22.5,22.5
TXN-10256,2023-01-30,Glycomet 500,GLY-2301-13,5,22.5,112.5
TXN-10257,2023-01-30,Glycomet 500,GLY-2301-17,5,22.5,112.5
TXN-10258,2023-01-30,Pan 40,PAN-2301-18,3,155,465
TXN-10259,2023-01-30,Glycomet 500,GLY-2301-17,1,22.5,22.5
TXN-10260,2023-01-30,Allegra 120,ALL-2301-79,3,198,594
TXN-10261,2023-01-30,Dolo 650,DOL-2301-50,9,30,270
TXN-10262,2023-01-30,Azithral 500,AZI-2301-67,6,118.5,711
TXN-10263,2023-01-30,Allegra 120,ALL-2301-89,1,198,198
TXN-10264,2023-01-30,Pan 40,PAN-2301-58,4,155,620
TXN-10265,2023-01-30,Telma 40,TEL-2301-73,2,220,440
TXN-10266,2023-01-30,Azithral 500,AZI-2301-28,4,118.5,474
TXN-10267,2023-01-30,Allegra 120,ALL-2301-89,2,198,396
TXN-10268,2023-01-31,Pan 40,PAN-2301-18,2,155,310
TXN-10269,2023-01-31,Dolo 650,DOL-2301-86,8,30,240
TXN-10270,2023-01-31,Glycomet 500,GLY-2301-13,2,22.5,45
TXN-10271,2023-01-31,Azithral 500,AZI-2301-28,4,118.5,474
TXN-10272,2023-01-31,Glycomet 500,GLY-2301-55,1,22.5,22.5
TXN-10273,2023-01-31,Azithral 500,AZI-2301-28,6,118.5,711
TXN-10274,2023-02-01,Telma 40,TEL-2301-51,4,220,880
TXN-10275,2023-02-01,Glycomet 500,GLY-2301-13,4,22.5,90
TXN-10276,2023-02-01,Pan 40,PAN-2301-29,2,155,310
TXN-10277,2023-02-01,Pan 40,,1,155,155
TXN-10278,2023-02-01,Glycomet 500,GLY-2301-55,5,22.5,112.5
TXN-10279,2023-02-01,Pan 40,PAN-2301-29,1,155,155
TXN-10280,2023-02-01,Telma 40,TEL-2301-51,4,220,880
TXN-10281,2023-02-01,Glycomet 500,GLY-2301-17,1,22.5,22.5
TXN-10282,2023-02-01,Pan 40,PAN-2301-58,4,155,620
TXN-10283,2023-02-01,Telma 40,TEL-2301-80,2,220,440
TXN-10284,2023-02-01,Glycomet 500,GLY-2301-55,1,22.5,22.5
TXN-10285,2023-02-01,Telma 40,TEL-2301-73,4,220,880
TXN-10286,2023-02-02,Glycomet 500,GLY-2301-17,5,22.5,112.5
TXN-10287,2023-02-02,Telma 40,TEL-2301-73,4,220,880
TXN-10288,2023-02-02,Azithral 500,AZI-2301-61,7,118.5,829.5
TXN-10289,2023-02-02,Azithral 500,AZI-2301-67,8,118.5,948
TXN-10290,2023-02-02,Azithral 500,AZI-2301-67,7,118.5,829.5
TXN-10291,2023-02-02,Azithral 500,AZI-2301-61,5,118.5,592.5
TXN-10292,2023-02-02,Allegra 120,ALL-2301-79,2,198,396
TXN-10293,2023-02-02,Telma 40,TEL-2301-80,2,220,440
TXN-10294,2023-02-02,Telma 40,TEL-2301-73,1,220,220
TXN-10295,2023-02-03,Allegra 120,ALL-2301-89,3,198,594
TXN-10296,2023-02-03,Dolo 650,,5,30,150
TXN-10297,2023-02-03,Azithral 500,AZI-2301-67,8,118.5,948
TXN-10298,2023-02-03,Azithral 500,AZI-2301-61,7,118.5,829.5
TXN-10299,2023-02-03,Dolo 650,DOL-2301-86,2,30,60
TXN-10300,2023-02-03,Pan 40,PAN-2301-18,2,155,310
TXN-10301,2023-02-03,Dolo 650,DOL-2301-95,4,30,120
TXN-10302,2023-02-03,Dolo 650,DOL-2301-86,3,30,90
TXN-10303,2023-02-03,Dolo 650,DOL-2301-95,3,30,90
TXN-10304,2023-02-04,Dolo 650,DOL-2301-86,5,30,150
TXN-10305,2023-02-04,Azithral 500,AZI-2301-67,7,118.5,829.5
TXN-10306,2023-02-04,Pan 40,,3,155,465
TXN-10307,2023-02-04,Telma 40,TEL-2301-51,4,220,880
TXN-10308,2023-02-04,Allegra 120,ALL-2301-79,2,198,396
TXN-10309,2023-02-04,Allegra 120,ALL-2301-41,4,198,792
TXN-10310,2023-02-04,Telma 40,TEL-2301-51,5,220,1100
TXN-10311,2023-02-04,Telma 40,TEL-2301-80,2,220,440
TXN-10312,2023-02-04,Dolo 650,DOL-2301-50,4,30,120
TXN-10313,2023-02-04,Pan 40,PAN-2301-29,2,155,310
TXN-10314,2023-02-04,Azithral 500,AZI-2301-67,5,118.5,592.5
TXN-10315,2023-02-04,Allegra 120,ALL-2301-41,2,198,396
TXN-10316,2023-02-04,Dolo 650,DOL-2301-86,5,30,150
TXN-10317,2023-02-04,Glycomet 500,GLY-2301-55,1,22.5,22.5
TXN-10318,2023-02-04,Pan 40,PAN-2301-18,5,155,775
TXN-10319,2023-02-05,Telma 40,TEL-2301-51,2,220,440
TXN-10320,2023-02-05,Allegra 120,ALL-2301-41,5,198,990
TXN-10321,2023-02-05,Pan 40,,2,155,310
TXN-10322,2023-02-05,Allegra 120,ALL-2301-41,2,198,396
TXN-10323,2023-02-05,Allegra 120,ALL-2301-41,5,198,990
TXN-10324,2023-02-05,Glycomet 500,,3,22.5,67.5
TXN-10325,2023-02-05,Telma 40,,5,220,1100
TXN-10326,2023-02-06,Pan 40,PAN-2301-29,5,155,775
TXN-10327,2023-02-06,Pan 40,PAN-2301-58,5,155,775
TXN-10328,2023-02-06,Telma 40,TEL-2301-51,1,220,220
TXN-10329,2023-02-06,Pan 40,,5,155,775
TXN-10330,2023-02-06,Allegra 120,ALL-2301-41,5,198,990
TXN-10331,2023-02-06,Glycomet 500,GLY-2301-13,3,22.5,67.5
TXN-10332,2023-02-07,Pan 40,,1,155,155
TXN-10333,2023-02-07,Glycomet 500,GLY-2301-13,4,22.5,90
TXN-10334,2023-02-07,Pan 40,PAN-2301-18,4,155,620
TXN-10335,2023-02-07,Pan 40,PAN-2301-58,1,155,155
TXN-10336,2023-02-07,Pan 40,PAN-2301-29,2,155,310
TXN-10337,2023-02-07,Allegra 120,ALL-2301-41,1,198,198
TXN-10338,2023-02-07,Azithral 500,AZI-2301-67,6,118.5,711
TXN-10339,2023-02-07,Allegra 120,,3,198,594
TXN-10340,2023-02-07,Allegra 120,ALL-2301-89,3,198,594
TXN-10341,2023-02-07,Telma 40,TEL-2301-73,2,220,440
TXN-10342,2023-02-07,Telma 40,TEL-2301-51,4,220,880
TXN-10343,2023-02-07,Dolo 650,DOL-2301-95,1,30,30
TXN-10344,2023-02-07,Dolo 650,,1,30,30
TXN-10345,2023-02-08,Glycomet 500,GLY-2301-55,1,22.5,22.5
TXN-10346,2023-02-08,Glycomet 500,GLY-2301-17,2,22.5,45
TXN-10347,2023-02-08,Pan 40,PAN-2301-58,5,155,775
TXN-10348,2023-02-08,Allegra 120,ALL-2301-79,4,198,792
TXN-10349,2023-02-08,Dolo 650,DOL-2301-86,2,30,60
TXN-10350,2023-02-08,Allegra 120,ALL-2301-79,3,198,594
TXN-10351,2023-02-08,Pan 40,PAN-2301-18,4,155,620
TXN-10352,2023-02-08,Telma 40,TEL-2301-51,2,220,440
TXN-10353,2023-02-08,Azithral 500,AZI-2301-28,7,118.5,829.5
TXN-10354,2023-02-09,Glycomet 500,GLY-2301-13,3,22.5,67.5
TXN-10355,2023-02-09,Dolo 650,DOL-2301-86,3,30,90
TXN-10356,2023-02-09,Azithral 500,AZI-2301-28,4,118.5,474
TXN-10357,2023-02-09,Glycomet 500,GLY-2301-13,1,22.5,22.5
TXN-10358,2023-02-09,Azithral 500,AZI-2301-67,6,118.5,711
TXN-10359,2023-02-09,Pan 40,,5,155,775
TXN-10360,2023-02-09,Azithral 500,AZI-2301-28,9,118.5,1066.5
TXN-10361,2023-02-09,Pan 40,PAN-2301-29,5,155,775
TXN-10362,2023-02-09,Azithral 500,AZI-2301-28,8,118.5,948
TXN-10363,2023-02-10,Azithral 500,AZI-2301-67,8,118.5,948
TXN-10364,2023-02-10,Pan 40,,1,155,155
TXN-10365,2023-02-10,Pan 40,PAN-2301-18,5,155,775
TXN-10366,2023-02-10,Telma 40,TEL-2301-51,5,220,1100
TXN-10367,2023-02-10,Azithral 500,AZI-2301-61,9,118.5,1066.5
TXN-10368,2023-02-10,Pan 40,PAN-2301-29,3,155,465
TXN-10369,2023-02-10,Telma 40,TEL-2301-51,2,220,440
TXN-10370,2023-02-10,Telma 40,TEL-2301-73,5,220,1100
TXN-10371,2023-02-10,Pan 40,PAN-2301-58,5,155,775
TXN-10372,2023-02-10,Pan 40,PAN-2301-58,2,155,310
TXN-10373,2023-02-10,Telma 40,TEL-2301-51,2,220,440
TXN-10374,2023-02-10,Pan 40,PAN-2301-18,1,155,155
TXN-10375,2023-02-10,Allegra 120,ALL-2301-79,2,198,396
TXN-10376,2023-02-11,Azithral 500,AZI-2301-67,9,118.5,1066.5
TXN-10377,2023-02-11,Telma 40,TEL-2301-51,2,220,440
TXN-10378,2023-02-11,Dolo 650,DOL-2301-95,3,30,90
TXN-10379,2023-02-11,Azithral 500,AZI-2301-67,4,118.5,474
TXN-10380,2023-02-11,Glycomet 500,GLY-2301-13,2,22.5,45
TXN-10381,2023-02-11,Azithral 500,AZI-2301-28,8,118.5,948
TXN-10382,2023-02-11,Telma 40,TEL-2301-80,4,220,880
